[19:21:26] Starting rescue watcher...
[19:21:46] ✓ Saved qwen3-14b seed=789
[19:21:46] ✓ Saved qwen3-14b seed=42
[19:21:46] ✓ Saved qwen3-14b seed=456
[19:42:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:42:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:43:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:43:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:43:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:44:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:44:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:44:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:45:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:45:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:45:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:46:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:46:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:46:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:47:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:47:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:47:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:48:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:48:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:48:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:49:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:49:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:49:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:50:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:50:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:50:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:51:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:51:27] ✓ Saved qwen3-8b seed=1024
[19:51:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:51:47] Waiting: 27B=0 8B=0 14B=1 remaining
[19:52:07] Waiting: 27B=0 8B=0 14B=1 remaining
[19:52:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:52:47] Waiting: 27B=0 8B=0 14B=1 remaining
[19:53:07] Waiting: 27B=0 8B=0 14B=1 remaining
[19:53:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:53:47] Waiting: 27B=0 8B=0 14B=1 remaining
[19:54:07] Waiting: 27B=0 8B=0 14B=1 remaining
[19:54:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:54:47] Waiting: 27B=0 8B=0 14B=1 remaining
[19:55:07] Waiting: 27B=0 8B=0 14B=1 remaining
[19:55:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:55:47] Waiting: 27B=0 8B=0 14B=1 remaining
[19:56:07] Waiting: 27B=0 8B=0 14B=1 remaining
[19:56:27] Waiting: 27B=0 8B=0 14B=1 remaining
[19:56:48] Waiting: 27B=0 8B=0 14B=1 remaining
[19:57:08] Waiting: 27B=0 8B=0 14B=1 remaining
[19:57:28] Waiting: 27B=0 8B=0 14B=1 remaining
[19:57:48] Waiting: 27B=0 8B=0 14B=1 remaining
[19:58:08] Waiting: 27B=0 8B=0 14B=1 remaining
[19:58:28] Waiting: 27B=0 8B=0 14B=1 remaining
[19:58:48] Waiting: 27B=0 8B=0 14B=1 remaining
[19:59:08] Waiting: 27B=0 8B=0 14B=1 remaining
[19:59:28] Waiting: 27B=0 8B=0 14B=1 remaining
[19:59:48] Waiting: 27B=0 8B=0 14B=1 remaining
[20:00:08] Waiting: 27B=0 8B=0 14B=1 remaining
[20:00:28] Waiting: 27B=0 8B=0 14B=1 remaining
[20:00:48] Waiting: 27B=0 8B=0 14B=1 remaining
[20:01:08] Waiting: 27B=0 8B=0 14B=1 remaining
[20:01:28] Waiting: 27B=0 8B=0 14B=1 remaining
[20:01:48] Waiting: 27B=0 8B=0 14B=1 remaining
[20:02:08] Waiting: 27B=0 8B=0 14B=1 remaining
[20:02:28] Waiting: 27B=0 8B=0 14B=1 remaining
[20:02:48] Waiting: 27B=0 8B=0 14B=1 remaining
[20:03:08] Waiting: 27B=0 8B=0 14B=1 remaining
[20:03:28] Waiting: 27B=0 8B=0 14B=1 remaining
[20:03:48] Waiting: 27B=0 8B=0 14B=1 remaining
[20:04:08] Waiting: 27B=0 8B=0 14B=1 remaining
[20:04:28] Waiting: 27B=0 8B=0 14B=1 remaining
[20:04:48] Waiting: 27B=0 8B=0 14B=1 remaining
