
GEPA Optimization:   0%|          | 0/718 [00:00<?, ?rollouts/s]QA eval error (1 consecutive): litellm.ContextWindowExceededError: litellm.BadRequestError: ContextWindowExceededError: OpenAIException - This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=3585)

GEPA Optimization:  63%|######2   | 450/718 [1:00:47<42:07,  9.43s/rollouts]
GEPA Optimization:  63%|######3   | 453/718 [1:01:05<37:28,  8.49s/rollouts]
GEPA Optimization:  64%|######3   | 456/718 [1:01:32<38:01,  8.71s/rollouts]
GEPA Optimization:  64%|######4   | 462/718 [1:02:40<42:06,  9.87s/rollouts]
GEPA Optimization:  65%|######4   | 465/718 [1:03:07<40:48,  9.68s/rollouts]
GEPA Optimization:  65%|######5   | 468/718 [1:03:17<33:27,  8.03s/rollouts]
GEPA Optimization:  66%|######5   | 471/718 [1:03:35<30:44,  7.47s/rollouts]
GEPA Optimization:  66%|######6   | 474/718 [1:04:10<35:01,  8.61s/rollouts]
GEPA Optimization:  66%|######6   | 477/718 [1:04:20<28:48,  7.17s/rollouts]
GEPA Optimization:  67%|######6   | 480/718 [1:04:47<30:15,  7.63s/rollouts]
GEPA Optimization:  68%|######7   | 486/718 [1:06:11<40:39, 10.51s/rollouts]
GEPA Optimization:  68%|######8   | 489/718 [1:06:48<41:58, 11.00s/rollouts]
GEPA Optimization:  69%|######8   | 492/718 [1:07:36<46:15, 12.28s/rollouts]
GEPA Optimization:  69%|######8   | 495/718 [1:07:41<34:54,  9.39s/rollouts]
GEPA Optimization:  69%|######9   | 498/718 [1:07:57<30:12,  8.24s/rollouts]
GEPA Optimization:  70%|######9   | 501/718 [1:08:25<30:53,  8.54s/rollouts]
GEPA Optimization:  70%|#######   | 504/718 [1:08:35<25:10,  7.06s/rollouts]
GEPA Optimization:  71%|#######   | 507/718 [1:08:52<23:33,  6.70s/rollouts]
GEPA Optimization:  71%|#######1  | 510/718 [1:09:38<32:03,  9.25s/rollouts]
GEPA Optimization:  72%|#######1  | 516/718 [1:10:50<35:14, 10.47s/rollouts]
GEPA Optimization:  72%|#######2  | 519/718 [1:11:09<31:31,  9.50s/rollouts]
GEPA Optimization:  73%|#######2  | 522/718 [1:11:18<25:30,  7.81s/rollouts]
GEPA Optimization:  73%|#######3  | 525/718 [1:11:51<27:50,  8.66s/rollouts]
GEPA Optimization:  74%|#######3  | 528/718 [1:12:23<29:02,  9.17s/rollouts]
GEPA Optimization:  74%|#######3  | 531/718 [1:12:36<24:19,  7.81s/rollouts]
GEPA Optimization:  74%|#######4  | 534/718 [1:12:56<22:57,  7.49s/rollouts]
GEPA Optimization:  75%|#######5  | 540/718 [1:14:17<30:22, 10.24s/rollouts]
GEPA Optimization:  76%|#######5  | 543/718 [1:14:27<24:45,  8.49s/rollouts]
GEPA Optimization:  76%|#######6  | 546/718 [1:14:52<24:14,  8.46s/rollouts]
GEPA Optimization:  76%|#######6  | 549/718 [1:15:29<26:48,  9.52s/rollouts]
GEPA Optimization:  77%|#######6  | 552/718 [1:15:50<24:25,  8.83s/rollouts]
GEPA Optimization:  77%|#######7  | 555/718 [1:16:26<26:27,  9.74s/rollouts]
GEPA Optimization:  78%|#######7  | 558/718 [1:16:57<26:30,  9.94s/rollouts]
GEPA Optimization:  78%|#######8  | 561/718 [1:17:16<23:16,  8.89s/rollouts]
GEPA Optimization:  79%|#######8  | 564/718 [1:17:29<19:13,  7.49s/rollouts]
GEPA Optimization:  79%|#######8  | 567/718 [1:17:53<19:17,  7.66s/rollouts]
GEPA Optimization:  79%|#######9  | 570/718 [1:18:17<19:02,  7.72s/rollouts]
GEPA Optimization:  80%|#######9  | 573/718 [1:18:35<17:27,  7.23s/rollouts]
GEPA Optimization:  80%|########  | 576/718 [1:19:00<17:53,  7.56s/rollouts]
GEPA Optimization:  81%|########  | 579/718 [1:19:28<18:47,  8.11s/rollouts]
GEPA Optimization:  81%|########1 | 582/718 [1:19:52<18:20,  8.09s/rollouts]
GEPA Optimization:  81%|########1 | 585/718 [1:20:03<14:57,  6.75s/rollouts]
GEPA Optimization:  82%|########1 | 588/718 [1:20:25<14:54,  6.88s/rollouts]
GEPA Optimization:  82%|########2 | 591/718 [1:20:33<11:58,  5.66s/rollouts]
GEPA Optimization:  83%|########3 | 597/718 [1:21:55<18:49,  9.34s/rollouts]
GEPA Optimization:  84%|########3 | 600/718 [1:22:14<16:57,  8.63s/rollouts]
GEPA Optimization:  84%|########3 | 603/718 [1:22:57<19:17, 10.06s/rollouts]
GEPA Optimization:  85%|########4 | 609/718 [1:24:18<21:00, 11.57s/rollouts]
GEPA Optimization:  85%|########5 | 612/718 [1:24:34<17:54, 10.14s/rollouts]
GEPA Optimization:  86%|########6 | 618/718 [1:25:38<17:11, 10.32s/rollouts]
GEPA Optimization:  86%|########6 | 621/718 [1:25:49<14:15,  8.82s/rollouts]
GEPA Optimization:  87%|########6 | 624/718 [1:26:29<15:35,  9.95s/rollouts]
GEPA Optimization:  87%|########7 | 627/718 [1:26:41<12:43,  8.39s/rollouts]
GEPA Optimization:  88%|########7 | 630/718 [1:26:45<09:35,  6.54s/rollouts]
GEPA Optimization:  88%|########8 | 633/718 [1:27:18<11:00,  7.78s/rollouts]
GEPA Optimization:  89%|########8 | 636/718 [1:27:44<10:54,  7.98s/rollouts]
GEPA Optimization:  89%|########8 | 639/718 [1:28:01<09:38,  7.33s/rollouts]
GEPA Optimization:  89%|########9 | 642/718 [1:28:40<11:22,  8.98s/rollouts]
GEPA Optimization:  90%|########9 | 645/718 [1:28:56<09:35,  7.88s/rollouts]
GEPA Optimization:  90%|######### | 648/718 [1:29:26<09:58,  8.55s/rollouts]
GEPA Optimization:  91%|#########1| 654/718 [1:30:36<10:38,  9.98s/rollouts]
GEPA Optimization:  92%|#########1| 657/718 [1:31:01<09:42,  9.54s/rollouts]
GEPA Optimization:  92%|#########2| 663/718 [1:31:55<08:34,  9.35s/rollouts]
GEPA Optimization:  93%|#########2| 666/718 [1:32:22<08:00,  9.24s/rollouts]
GEPA Optimization:  93%|#########3| 669/718 [1:32:42<07:04,  8.65s/rollouts]
GEPA Optimization:  94%|#########3| 672/718 [1:33:14<06:58,  9.11s/rollouts]
GEPA Optimization:  94%|#########4| 675/718 [1:33:26<05:35,  7.79s/rollouts]
GEPA Optimization:  95%|#########4| 681/718 [1:34:23<05:15,  8.52s/rollouts]
GEPA Optimization:  95%|#########5| 684/718 [1:34:41<04:30,  7.95s/rollouts]
GEPA Optimization:  96%|#########5| 687/718 [1:34:59<03:50,  7.44s/rollouts]
GEPA Optimization:  96%|#########6| 690/718 [1:35:18<03:18,  7.10s/rollouts]
GEPA Optimization:  97%|#########6| 696/718 [1:36:23<03:12,  8.75s/rollouts]
GEPA Optimization:  97%|#########7| 699/718 [1:36:59<02:59,  9.47s/rollouts]
GEPA Optimization:  98%|#########7| 702/718 [1:37:30<02:35,  9.69s/rollouts]
GEPA Optimization:  98%|#########8| 705/718 [1:37:46<01:50,  8.52s/rollouts]
GEPA Optimization:  99%|#########8| 708/718 [1:38:08<01:22,  8.21s/rollouts]
GEPA Optimization:  99%|#########9| 711/718 [1:38:36<00:59,  8.51s/rollouts]
GEPA Optimization:  99%|#########9| 714/718 [1:39:01<00:34,  8.54s/rollouts]
GEPA Optimization: 100%|#########9| 717/718 [1:39:41<00:09,  9.93s/rollouts]
GEPA Optimization: 100%|#########9| 717/718 [1:39:59<00:08,  8.37s/rollouts]
